gender,customer_type,age,type_of_travel,flight_distance,inflight_wifi_service,departure/arrival_time_convenient,ease_of_online_booking,food_and_drink,inflight_entertainment,baggage_handling,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction
Male,Loyal Customer,69,Personal Travel,32,3,2,3,5,1,1,3,14,0,Dissatisfied
Female,Loyal Customer,39,Business Travel,56,2,5,5,5,2,5,5,0,0,Satisfied
Female,Loyal Customer,33,Business Travel,56,4,5,4,1,4,4,2,0,0,Satisfied
Male,Loyal Customer,55,Business Travel,67,5,5,5,1,5,5,2,10,12,Satisfied
Male,Loyal Customer,59,Business Travel,67,5,5,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,53,Business Travel,67,3,3,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,56,Business Travel,67,1,4,4,1,3,1,3,0,0,Dissatisfied
Male,Loyal Customer,47,Business Travel,67,5,5,5,3,4,5,2,0,0,Satisfied
Female,Loyal Customer,54,Business Travel,67,1,5,5,4,4,1,3,36,16,Dissatisfied
Female,Loyal Customer,57,Business Travel,67,0,5,0,5,5,5,2,0,0,Satisfied
Female,Disloyal Customer,25,Business Travel,67,2,4,2,3,3,5,3,0,0,Unknown
Female,Loyal Customer,51,Business Travel,67,3,3,3,2,4,5,4,10,0,Satisfied
Male,Loyal Customer,47,Business Travel,67,5,5,4,2,4,5,4,0,0,Satisfied
Female,Loyal Customer,60,Business Travel,67,4,2,2,5,3,4,3,9,6,Dissatisfied
Male,Loyal Customer,27,Business Travel,67,0,5,0,3,3,1,3,0,8,Satisfied
Female,Loyal Customer,56,Business Travel,67,1,1,1,2,5,4,4,0,0,Satisfied
Male,Loyal Customer,60,Business Travel,67,4,4,4,3,5,4,5,35,49,Satisfied
Male,Loyal Customer,43,Business Travel,67,2,2,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,69,Business Travel,67,2,2,2,1,3,2,4,7,8,Dissatisfied
Male,Loyal Customer,54,Business Travel,67,4,4,4,4,4,4,4,0,0,Neutral
Female,Disloyal Customer,25,Business Travel,67,1,0,1,3,3,4,3,0,0,Unknown
Male,Disloyal Customer,20,Business Travel,67,2,2,2,4,5,4,4,11,36,Dissatisfied
Male,Disloyal Customer,19,Business Travel,67,0,3,0,4,4,4,4,0,0,Satisfied
Male,Loyal Customer,63,Personal Travel,67,2,5,2,2,3,3,5,61,65,Dissatisfied
Male,Loyal Customer,50,Business Travel,67,4,4,4,2,5,5,5,0,0,Satisfied
Female,Loyal Customer,43,Business Travel,67,4,4,4,3,3,5,3,20,10,Unknown
Male,Loyal Customer,39,Business Travel,67,4,4,4,3,5,5,2,0,0,Satisfied
Male,Loyal Customer,51,Business Travel,67,1,1,1,2,4,4,5,116,107,Satisfied
Female,Loyal Customer,38,Business Travel,67,4,1,1,1,3,4,4,26,103,Dissatisfied
Male,Loyal Customer,46,Business Travel,67,1,1,1,2,4,5,5,0,9,Satisfied
Female,Disloyal Customer,85,Business Travel,67,4,4,4,4,2,4,4,0,0,Satisfied
Female,Loyal Customer,46,Business Travel,67,3,3,3,4,4,4,5,0,0,Satisfied
Male,Loyal Customer,45,Business Travel,73,4,2,4,4,4,4,4,0,0,Neutral
Male,Loyal Customer,59,Business Travel,73,3,5,3,5,3,5,4,13,18,Satisfied
Male,Loyal Customer,41,Business Travel,73,3,3,3,2,4,5,5,0,0,Satisfied
Female,Disloyal Customer,26,Business Travel,73,1,2,1,4,4,3,4,0,0,Dissatisfied
Male,Loyal Customer,42,Business Travel,73,1,1,1,1,4,5,3,50,43,Satisfied
Male,Loyal Customer,56,Business Travel,73,4,4,4,4,5,4,5,0,0,Satisfied
Male,Loyal Customer,43,Personal Travel,73,3,3,3,4,4,4,4,0,0,Unknown
Male,Loyal Customer,30,Business Travel,337,4,1,4,4,2,4,2,10,0,Dissatisfied
Female,Disloyal Customer,33,Business Travel,73,4,4,4,4,4,5,4,0,0,Dissatisfied
Male,Loyal Customer,47,Business Travel,73,2,2,2,3,4,5,4,71,66,Satisfied
Male,Disloyal Customer,39,Business Travel,74,1,1,1,5,5,4,5,0,0,Dissatisfied
Male,Disloyal Customer,47,Business Travel,74,2,2,2,3,3,5,3,0,0,Dissatisfied
Female,Loyal Customer,51,Business Travel,74,1,1,1,5,1,1,4,27,25,Dissatisfied
Female,Disloyal Customer,22,Business Travel,74,0,5,0,5,5,5,5,0,0,Satisfied
Male,Loyal Customer,54,Business Travel,74,0,5,0,3,1,1,4,0,0,Satisfied
Male,Loyal Customer,52,Business Travel,74,5,5,3,5,4,5,3,0,0,Satisfied
Female,Loyal Customer,17,Business Travel,74,2,1,5,4,4,3,4,25,13,Dissatisfied
Female,Loyal Customer,33,Business Travel,74,0,4,0,5,4,4,3,0,0,Satisfied
Male,Loyal Customer,48,Business Travel,74,5,5,5,5,4,4,4,0,0,Satisfied
Female,Loyal Customer,51,Business Travel,76,3,3,3,5,4,5,5,6,6,Satisfied
Unknown,Unknown,43,Unknown,337,2,4,4,4,4,4,4,0,0,Dissatisfied
Male,Loyal Customer,50,Business Travel,77,3,3,5,1,4,3,2,15,9,Dissatisfied
Male,Loyal Customer,42,Business Travel,77,5,5,5,5,4,5,5,0,0,Satisfied
Female,Loyal Customer,55,Business Travel,77,2,2,2,4,5,5,5,0,0,Satisfied
Female,Disloyal Customer,40,Business Travel,78,2,2,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,33,Business Travel,78,5,5,4,1,5,5,5,0,0,Satisfied
Male,Loyal Customer,30,Business Travel,337,4,4,4,4,5,4,5,10,0,Satisfied
Female,Loyal Customer,16,Personal Travel,78,1,5,1,3,3,5,3,0,0,Dissatisfied
Female,Loyal Customer,53,Business Travel,78,3,3,3,5,5,5,3,32,24,Satisfied
Female,Loyal Customer,60,Business Travel,78,1,3,3,1,3,1,4,113,105,Dissatisfied
Female,Loyal Customer,38,Business Travel,80,0,5,0,5,3,3,5,0,14,Satisfied
Male,Loyal Customer,32,Business Travel,82,2,2,2,5,5,5,5,0,0,Satisfied
Male,Loyal Customer,35,Business Travel,83,1,1,5,1,5,5,2,1,0,Satisfied
Male,Loyal Customer,33,Business Travel,83,0,5,0,3,3,5,3,0,0,Satisfied
Female,Loyal Customer,35,Business Travel,83,1,1,1,5,5,2,5,0,0,Satisfied
Male,Loyal Customer,33,Business Travel,83,3,5,5,2,2,4,2,0,0,Dissatisfied
Male,Loyal Customer,45,Business Travel,83,2,2,3,1,4,4,3,0,0,Satisfied
Female,Loyal Customer,50,Business Travel,83,3,4,4,5,2,3,2,11,7,Dissatisfied
Male,Loyal Customer,30,Business Travel,337,5,5,4,4,5,3,5,10,0,Satisfied
Female,Loyal Customer,56,Business Travel,83,5,5,4,4,4,4,4,0,0,Neutral
Male,Loyal Customer,51,Business Travel,83,0,4,4,4,4,4,4,0,0,Neutral
Male,Loyal Customer,44,Business Travel,84,5,5,5,5,5,4,3,3,7,Satisfied
Male,Loyal Customer,35,Personal Travel,84,3,2,3,4,4,4,4,0,0,Dissatisfied
Male,Loyal Customer,60,Business Travel,84,2,2,1,5,5,5,5,46,57,Satisfied
Female,Loyal Customer,48,Business Travel,84,0,4,0,2,4,5,5,0,0,Satisfied
Male,Loyal Customer,49,Business Travel,84,4,4,3,1,5,3,3,0,0,Satisfied
Male,Loyal Customer,27,Business Travel,84,5,5,5,5,5,1,5,0,0,Satisfied
Female,Loyal Customer,44,Business Travel,84,3,3,3,5,5,4,2,42,29,Satisfied
Male,Loyal Customer,39,Business Travel,84,0,3,0,5,2,3,4,0,0,Satisfied
Male,Loyal Customer,45,Business Travel,84,4,4,4,4,4,4,4,0,0,Neutral
Male,Loyal Customer,39,Business Travel,86,4,3,4,5,5,3,3,0,0,Satisfied
Female,Loyal Customer,59,Personal Travel,86,4,4,4,4,4,4,4,0,0,Neutral
Female,Loyal Customer,39,Business Travel,86,3,1,4,4,4,4,4,0,0,Neutral
Male,Loyal Customer,51,Business Travel,86,3,3,4,2,1,3,4,21,16,Dissatisfied
Female,Loyal Customer,47,Business Travel,86,1,1,4,1,5,4,4,43,39,Satisfied
Female,Loyal Customer,42,Business Travel,86,0,5,0,3,2,2,5,0,0,Satisfied
Female,Loyal Customer,57,Business Travel,86,1,1,1,1,5,3,5,0,0,Satisfied
